text,label
Bill Gates CONFIRMS the New World Order plan in leaked video that mainstream media is ignoring. The REAL reason the 2020 election happened will make your blood boil. They lied to us again. One weird trick Big Pharma doesn't want you to know about vaccine microchips. It's being SUPPRESSED.,1
"Health authorities confirmed 1,200 new cases of measles in South America. Scientists at MIT have published findings on climate change in the The Lancet journal.",0
ALIEN structures discovered on the Moon. NASA is covering it up. See the proof here! This this simple herb CURES Alzheimer's in 7 days — Big Pharma doesn't want you to know!,1
The Canada government approved a 1.2 billion dollar budget for infrastructure. Scientists at Cambridge have published findings on AI safety in the The Lancet journal. The Parliament passed legislation to regulate pharmaceutical companies following rising tensions.,0
This this simple herb CURES autism in just 2 days — Big Pharma doesn't want you to know! Government CAUGHT funding global warming hoax to control the population — whistleblower reveals ALL. URGENT: Forward this to everyone — the government is planning the great reset agenda by this year.,1
SHOCKING: George Soros EXPOSED for secretly poisoning the water supply — the media won't tell you! The REAL reason the pandemic happened will make your blood boil. They lied to us again.,1
The Reuters announced new guidelines following the regional crisis in Washington D.C.. The the oversight committee passed legislation to regulate financial institutions following the regional crisis. An investigation by NASA found no evidence of data manipulation in the recent last month's summit. The the Pentagon announced new guidelines following rising tensions in Washington D.C..,0
One weird trick Big Pharma doesn't want you to know about chemtrails. It's being SUPPRESSED. This this simple herb CURES COVID in 7 days — Big Pharma doesn't want you to know! BREAKING: Scientists BANNED from revealing the truth about 5G towers. Share before it's deleted! George Soros CONFIRMS the great reset agenda in leaked video that mainstream media is ignoring.,1
"Market analysts say Samsung shares rose 2.5% after strong Q1 earnings. The the regulatory body passed legislation to regulate social media platforms following rising tensions. According to official reports, the Director General stated that expanded healthcare access would be implemented by next fiscal year. Health authorities confirmed 4,500 new cases of measles in Western Europe.",0
One weird trick the Illuminati doesn't want you to know about lizard people. It's being SUPPRESSED. Government CAUGHT mind control experiments to control the population — whistleblower reveals ALL. George Soros CONFIRMS population control in leaked video that mainstream media is ignoring. You won't BELIEVE what the Illuminati is hiding about this ancient remedy. The cover-up is REAL.,1
"Market analysts say BP shares rose 4% after strong Q3 earnings. According to official reports, the Director General stated that the new trade agreement would be implemented by 2024.",0
URGENT: Forward this to everyone — the government is planning the great reset agenda by 2025. SHOCKING: the elite EXPOSED for secretly poisoning the water supply — the media won't tell you! Bill Gates CONFIRMS the great reset agenda in leaked video that mainstream media is ignoring. SHOCKING: George Soros EXPOSED for secretly mind control experiments — the media won't tell you!,1
